,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
169,isangel,vu,"{'lon': 169.266663, 'lat': -19.549999}",2136825,-19.55,169.27,1505230941,72.07,100,8,15.3,1505314800,73.71,100,12,16.69,1505239200,1505660400,74.43775000000001,98.975,27.7,13.327249999999998
170,kazalinsk,kz,"{'lon': 62.0999125, 'lat': 45.7640559}",0,45.76,62.1,1505230942,56.68,27,12,6.31,1505304000,72.7,27,0,4.38,1505239200,1505660400,66.18674999999999,47.2,1.5,4.72375
171,lippstadt,de,"{'lon': 8.35, 'lat': 51.666672}",2876865,51.67,8.35,1505229600,60.87,72,20,8.05,1505239200,57.72,87,32,12.24,1505239200,1505660400,52.04575,91.85,52.9,12.016499999999999
172,georgetown,sh,"{'lon': -14.41667, 'lat': -7.93333}",2411397,-7.93,-14.42,1505227800,77.0,69,75,23.04,1505239200,76.19,100,0,22.08,1505239200,1505660400,74.8305,100.0,62.6,22.952749999999998
173,san cristobal,ec,"{'lon': -89.617439, 'lat': -0.9045000000000001}",3651949,-0.9,-89.62,1505230944,68.29,98,88,16.2,1505325600,68.71,97,80,13.6,1505239200,1505660400,68.17125,98.825,58.9,14.501500000000002
174,kentville,ca,"{'lon': -64.498756, 'lat': 45.08345}",5991148,45.08,-64.5,1505228400,64.4,63,20,4.7,1505239200,71.8,59,0,6.42,1505239200,1505660400,63.36775,77.2,8.9,5.098000000000001
175,sumbe,ao,"{'lon': 13.84371, 'lat': -11.20605}",3346015,-11.21,13.84,1505230945,72.25,85,0,6.58,1505304000,73.15,86,0,7.18,1505239200,1505660400,68.862,94.4,22.7,4.754
176,zirandaro,mx,"{'lon': -100.98333, 'lat': 18.450001}",3979647,18.45,-100.98,1505230946,78.37,76,0,1.83,1505250000,91.83,47,0,3.27,1505239200,1505660400,77.98575,79.25,50.6,2.44475
177,cartagena,co,"{'lon': -75.514442, 'lat': 10.39972}",3687238,10.4,-75.51,1505228400,91.4,70,40,12.75,1505239200,87.89,100,24,10.78,1505239200,1505660400,82.3385,99.775,69.7,6.70925
178,kloulklubed,pw,"{'lon': 134.255615, 'lat': 7.04192}",7671223,7.04,134.26,1505227920,78.8,94,90,3.85,1505325600,82.21,100,48,10.47,1505239200,1505660400,82.34075,100.0,70.4,10.47875
179,vaitupu,wf,"{'lon': -176.1917035, 'lat': -13.2308863}",0,-13.23,-176.19,1505230997,82.96,100,88,14.29,1505271600,83.79,97,32,13.56,1505239200,1505660400,82.20025,99.75,59.1,19.163249999999998
180,stromness,gb,"{'lon': -3.29601, 'lat': 58.964981}",2636638,58.97,-3.3,1505229600,55.4,82,40,11.41,1505239200,55.2,100,68,14.7,1505239200,1505660400,53.48924999999999,99.575,77.8,16.61625
181,kushiro,jp,"{'lon': 144.374725, 'lat': 42.974998}",2129376,42.98,144.37,1505230803,61.72,99,92,15.08,1505271600,65.7,90,20,17.02,1505239200,1505660400,54.529750000000014,92.5,57.6,7.774500000000001
